"id","cluster"
"8",1
"10",1
"15",2
"17",2
"29",2
"32",2
"34",2
"36",2
"40",2
"41",2
"42",2
"44",2
"46",2
"48",2
"50",2
"52",3
"53",4
"54",2
"55",2
"56",2
"58",2
"60",2
"62",2
"64",2
"65",2
"66",3
"67",4
"68",5
"70",5
"74",6
"75",6
"76",6
"77",6
"78",6
"79",6
"81",7
"83",7
"84",8
"85",9
"86",10
"87",11
"98",2
"99",2
"100",2
"101",2
"102",12
"104",13
"105",14
"106",13
"107",14
"108",13
"110",13
"112",15
"114",15
"115",15
"116",15
"117",15
"118",15
"119",15
"120",15
"121",15
"122",15
"123",15
"124",15
"125",15
"126",15
"127",15
"128",15
"129",15
"130",15
"131",15
"132",15
"133",15
"134",15
"135",15
"136",15
"137",15
"138",15
"139",15
"140",15
"141",15
"142",15
"143",15
"144",15
"145",15
"146",15
"147",15
"148",15
"149",16
"150",17
"151",16
"152",18
"153",16
"154",19
"155",16
"156",20
"157",21
"158",22
"159",23
"160",24
"161",16
"162",19
"163",16
"164",20
"165",16
"166",17
"167",21
"168",22
"169",23
"170",24
"171",16
"172",19
"173",16
"174",20
"175",16
"176",17
"177",16
"178",18
"179",21
"180",22
"181",23
"182",24
"187",25
"188",26
"189",25
"190",27
"193",2
"198",2
"200",2
"202",2
"204",2
"206",2
"208",2
"210",2
"211",2
"212",2
"214",2
"215",2
"216",2
"217",2
"218",2
"220",2
"222",2
"224",2
"230",28
"231",29
"232",28
"233",29
"266",30
"267",30
"276",31
"277",31
"278",32
"279",33
"280",32
"281",33
"292",2
"293",2
"294",2
"295",2
"296",2
"297",2
"306",34
"308",34
"310",34
"311",35
"312",34
"313",35
"314",34
"315",36
"316",34
"317",36
"318",34
"320",34
"321",35
"322",34
"323",35
"324",34
"326",34
"328",34
"330",34
"332",2
"333",37
"334",2
"335",38
"336",39
"338",39
"344",40
"345",41
"346",40
"347",41
"348",42
"349",43
"380",44
"381",44
"382",44
"383",44
"384",44
"385",44
"386",44
"387",44
"392",44
"393",44
"394",44
"395",44
"396",44
"397",44
"398",44
"421",45
"430",15
"458",46
"459",47
"460",48
"461",49
"466",50
"468",50
"472",2
"473",2
"474",2
"475",2
"476",2
"480",2
"486",2
"487",2
"488",2
"489",2
"490",2
"491",2
"492",2
"494",2
"496",2
"504",2
"505",2
