"from","to","entropy_similarity"
"8","10",0.62889245621926
"15","32",0.673474161060461
"15","34",0.67506934013084
"32","34",0.884719849153447
"15","36",0.657426933917675
"32","36",0.854598360086226
"34","36",0.856415786508972
"15","40",0.700251583320537
"29","40",0.604697605977098
"32","40",0.883987331623259
"34","40",0.890571511530715
"36","40",0.865527625148741
"32","41",0.613489662945282
"34","41",0.6148847880452
"40","41",0.636886740216346
"15","42",0.673036973338221
"32","42",0.828535422043765
"34","42",0.830686031945722
"36","42",0.80693844785986
"40","42",0.864724828576125
"41","42",0.613107273922642
"32","44",0.705352569373556
"34","44",0.70705757276086
"36","44",0.68820673676655
"40","44",0.733987980016527
"42","44",0.704885301617513
"15","46",0.6120618988482
"32","46",0.746774274244041
"34","46",0.748625451711953
"36","46",0.728167217446146
"40","46",0.777885015331214
"42","46",0.746266973671654
"44","46",0.639799307097755
"32","48",0.7710955768688
"34","48",0.765528164857465
"36","48",0.738873043831861
"40","48",0.754929014946998
"42","48",0.724634504181796
"44","48",0.622449696449479
"46","48",0.656959795551203
"32","50",0.718338846037568
"34","50",0.714042648748416
"36","50",0.690423896729718
"40","50",0.706098881682263
"42","50",0.678559901698575
"46","50",0.616877686081835
"48","50",0.642191486495281
"15","54",0.692788888610975
"32","54",0.906327706257152
"34","54",0.906642812100418
"36","54",0.876874799400624
"40","54",0.913646284272148
"41","54",0.630370803525217
"42","54",0.854620362490691
"44","54",0.72600442392533
"46","54",0.769207028842705
"48","54",0.784419158358348
"50","54",0.731298164265305
"15","55",0.623466259562565
"32","55",0.76198714683998
"34","55",0.763892964414507
"36","55",0.742834164971631
"40","55",0.794023847759821
"42","55",0.761464882826155
"44","55",0.651959444654544
"46","55",0.688884559000913
"48","55",0.669595182272821
"50","55",0.628412147591737
"54","55",0.785085948260437
"15","56",0.676766259159813
"32","56",0.895984469305496
"34","56",0.895099951501308
"36","56",0.864575508175292
"40","56",0.894201486144447
"41","56",0.616368707368981
"42","56",0.832974546152673
"44","56",0.708871441808599
"46","56",0.750594998744025
"48","56",0.787656498628068
"50","56",0.722957664222754
"54","56",0.938781945848691
"55","56",0.765920709724489
"32","60",0.664753932272765
"34","60",0.666319485807546
"36","60",0.649003172052189
"40","60",0.691030425679793
"42","60",0.664324859113502
"46","60",0.60446027568701
"54","60",0.683708102087513
"55","60",0.615660245200108
"56","60",0.667984859360451
"15","62",0.679976221371244
"32","62",0.889259879723819
"34","62",0.891006913824292
"36","62",0.862500420773356
"40","62",0.899706847303209
"41","62",0.619175227358727
"42","62",0.837305672132403
"44","62",0.71230297180156
"46","62",0.75432152421246
"48","62",0.767264168986402
"50","62",0.715971218783828
"54","62",0.912440098323228
"55","62",0.76975753135635
"56","62",0.90012533556693
"60","62",0.671135063379378
"15","64",0.681633912995502
"32","64",0.89734026973399
"34","64",0.897338692436115
"36","64",0.886075565414115
"40","64",0.900456238136633
"41","64",0.620624306140249
"42","64",0.839543417441371
"44","64",0.714075259329345
"46","64",0.756246413233665
"48","64",0.77660200369894
"50","64",0.723732396008211
"54","64",0.939237155607028
"55","64",0.771739484781334
"56","64",0.926286241439835
"60","64",0.672761851017291
"62","64",0.922828177486968
"32","65",0.615127811038194
