"name","spectrum_id","feature_idx","precursor_mz","precursor_rt","n_peaks","ID","feature_name","feature_mz","feature_rt","in_top_500","rank","label","full_label","display_label","cluster","size"
"8","feat_2_spec_1",2,101.0244,8.946,8,1021,"Succinic semialdehyde",101.0244,8.946,FALSE,NA,"F2_S1","Succinic semialdehyde
101.02 m/z @ 8.95 min",NA,1,3.49019607843137
"10","feat_2_spec_3",2,101.0244,8.946,5,1021,"Succinic semialdehyde",101.0244,8.946,FALSE,NA,"F2_S3","Succinic semialdehyde
101.02 m/z @ 8.95 min",NA,1,3.19607843137255
"15","feat_2_spec_8",2,101.0244,8.946,9,1021,"Succinic semialdehyde",101.0244,8.946,FALSE,NA,"F2_S8","Succinic semialdehyde
101.02 m/z @ 8.95 min",NA,2,3.58823529411765
"17","feat_2_spec_10",2,101.0244,8.946,8,1021,"Succinic semialdehyde",101.0244,8.946,FALSE,NA,"F2_S10","Succinic semialdehyde
101.02 m/z @ 8.95 min",NA,2,3.49019607843137
"29","feat_12_spec_1",12,110.89906,4.959,11,9550,"Selenium dioxide",110.89906,4.959,FALSE,NA,"F12_S1","Selenium dioxide
110.9 m/z @ 4.96 min",NA,2,3.7843137254902
"32","feat_14_spec_2",14,111.02002,1.867,12,932,"Uracil",111.02002,1.867,FALSE,NA,"F14_S2","Uracil
111.02 m/z @ 1.87 min",NA,2,3.88235294117647
"34","feat_14_spec_4",14,111.02002,1.867,13,932,"Uracil",111.02002,1.867,FALSE,NA,"F14_S4","Uracil
111.02 m/z @ 1.87 min",NA,2,3.98039215686275
"36","feat_14_spec_6",14,111.02002,1.867,15,932,"Uracil",111.02002,1.867,FALSE,NA,"F14_S6","Uracil
111.02 m/z @ 1.87 min",NA,2,4.17647058823529
"40","feat_15_spec_1",15,111.02002,2.108,5,2694,"mH",111.02002,2.108,FALSE,NA,"F15_S1","mH
111.02 m/z @ 2.11 min",NA,2,3.19607843137255
"41","feat_15_spec_2",15,111.02002,2.108,3,2694,"mH",111.02002,2.108,FALSE,NA,"F15_S2","mH
111.02 m/z @ 2.11 min",NA,2,3
"42","feat_15_spec_3",15,111.02002,2.108,8,2694,"mH",111.02002,2.108,FALSE,NA,"F15_S3","mH
111.02 m/z @ 2.11 min",NA,2,3.49019607843137
"44","feat_15_spec_5",15,111.02002,2.108,11,2694,"mH",111.02002,2.108,FALSE,NA,"F15_S5","mH
111.02 m/z @ 2.11 min",NA,2,3.7843137254902
"46","feat_15_spec_7",15,111.02002,2.108,9,2694,"mH",111.02002,2.108,FALSE,NA,"F15_S7","mH
111.02 m/z @ 2.11 min",NA,2,3.58823529411765
"48","feat_16_spec_1",16,111.02006,5.129,13,784,"Uracil",111.02006,5.129,FALSE,NA,"F16_S1","Uracil
111.02 m/z @ 5.13 min",NA,2,3.98039215686275
"50","feat_16_spec_3",16,111.02006,5.129,14,784,"Uracil",111.02006,5.129,FALSE,NA,"F16_S3","Uracil
111.02 m/z @ 5.13 min",NA,2,4.07843137254902
"52","feat_17_spec_1",17,111.02007,1.4,14,462,"Uracil",111.02007,1.4,FALSE,NA,"F17_S1","Uracil
111.02 m/z @ 1.4 min",NA,3,4.07843137254902
"53","feat_17_spec_2",17,111.02007,1.4,13,462,"Uracil",111.02007,1.4,FALSE,NA,"F17_S2","Uracil
111.02 m/z @ 1.4 min",NA,4,3.98039215686275
"54","feat_17_spec_3",17,111.02007,1.4,12,462,"Uracil",111.02007,1.4,FALSE,NA,"F17_S3","Uracil
111.02 m/z @ 1.4 min",NA,2,3.88235294117647
"55","feat_17_spec_4",17,111.02007,1.4,5,462,"Uracil",111.02007,1.4,FALSE,NA,"F17_S4","Uracil
111.02 m/z @ 1.4 min",NA,2,3.19607843137255
"56","feat_17_spec_5",17,111.02007,1.4,18,462,"Uracil",111.02007,1.4,FALSE,NA,"F17_S5","Uracil
111.02 m/z @ 1.4 min",NA,2,4.47058823529412
"58","feat_17_spec_7",17,111.02007,1.4,11,462,"Uracil",111.02007,1.4,FALSE,NA,"F17_S7","Uracil
111.02 m/z @ 1.4 min",NA,2,3.7843137254902
"60","feat_17_spec_9",17,111.02007,1.4,6,462,"Uracil",111.02007,1.4,FALSE,NA,"F17_S9","Uracil
111.02 m/z @ 1.4 min",NA,2,3.29411764705882
"62","feat_18_spec_1",18,111.02007,1.317,11,835,"Uracil",111.02007,1.317,FALSE,NA,"F18_S1","Uracil
111.02 m/z @ 1.32 min",NA,2,3.7843137254902
"64","feat_18_spec_3",18,111.02007,1.317,13,835,"Uracil",111.02007,1.317,FALSE,NA,"F18_S3","Uracil
111.02 m/z @ 1.32 min",NA,2,3.98039215686275
"65","feat_18_spec_4",18,111.02007,1.317,7,835,"Uracil",111.02007,1.317,FALSE,NA,"F18_S4","Uracil
111.02 m/z @ 1.32 min",NA,2,3.3921568627451
"66","feat_18_spec_5",18,111.02007,1.317,14,835,"Uracil",111.02007,1.317,FALSE,NA,"F18_S5","Uracil
111.02 m/z @ 1.32 min",NA,3,4.07843137254902
"67","feat_18_spec_6",18,111.02007,1.317,13,835,"Uracil",111.02007,1.317,FALSE,NA,"F18_S6","Uracil
111.02 m/z @ 1.32 min",NA,4,3.98039215686275
